,source,subtype,NEW_10_2020,10_08_2020
c.COLO668,CCLE,A2,A2,A2
c.CORL24,CCLE,A,N,A
c.CORL279,CCLE,A,A,A
c.CORL311,CCLE,P,P,P
c.CORL47,CCLE,A,A,A
c.CORL88,CCLE,A,A2,A2
c.CORL95,CCLE,A2,A2,A2
c.DMS114,CCLE,Y,Y,Y
c.DMS153,CCLE,A2,A2,A2
c.DMS273,CCLE,N,N,N
c.DMS454,CCLE,A2,A2,A2
c.DMS53,CCLE,A2,A2,A2
c.DMS79,CCLE,A,A,A
c.HCC33,CCLE,A,N,A
c.NCIH1048,CCLE,P,P,P
c.NCIH1092,CCLE,A,A,A
c.NCIH1105,CCLE,A,A,A
c.NCIH1184,CCLE,A,A,A
c.NCIH1339,CCLE,Y,Y,Y
c.NCIH1341,CCLE,uncl,Y,Y
c.NCIH1436,CCLE,A,A,A
c.NCIH146,CCLE,A,A,A
c.NCIH1618,CCLE,A,A,A
c.NCIH1694,CCLE,N,N,N
c.NCIH1836,CCLE,A,A,A
c.NCIH1876,CCLE,A,A,A
c.NCIH1930,CCLE,A,A,A
c.NCIH196,CCLE,uncl,Y,Y
c.NCIH1963,CCLE,A,A,A
c.NCIH2029,CCLE,A2,A2,A2
c.NCIH2066,CCLE,A2,A2,A2
c.NCIH2081,CCLE,A,A,A
c.NCIH209,CCLE,A,A,A
c.NCIH211,CCLE,P,P,P
c.NCIH2171,CCLE,N,N,N
c.NCIH2196,CCLE,A2,A2,A2
c.NCIH2227,CCLE,N,N,N
c.NCIH2286,CCLE,Y,Y,Y
c.NCIH446,CCLE,uncl,N,N
c.NCIH510,CCLE,A2,A2,A2
c.NCIH524,CCLE,N,N,N
c.NCIH526,CCLE,P,P,P
c.NCIH69,CCLE,A,A,A
c.NCIH82,CCLE,N,N,uncl
c.NCIH841,CCLE,Y,Y,Y
c.NCIH889,CCLE,A,A,A
c.SBC5,CCLE,Y,Y,Y
c.SCLC21H,CCLE,N,N,A
c.SHP77,CCLE,A2,A2,A2
c.SW1271,CCLE,Y,Y,Y
m.DMS153,Minna,A2,A2,A2
m.HCC2433,Minna,N,N,N
m.HCC33,Minna,A,N,A
m.HCC4000,Minna,A,A2,A2
m.HCC4001,Minna,N,N,N
m.HCC4002,Minna,N,N,A
m.HCC4003,Minna,A,A,A
m.HCC4004,Minna,N,N,A
m.HCC4005,Minna,A,N,A
m.HCC970,Minna,N,N,N
m.NCIH1048,Minna,P,P,P
m.NCIH1092,Minna,A,A,A
m.NCIH1184,Minna,A,A,A
m.NCIH1238,Minna,A2,A2,A2
m.NCIH128,Minna,A,A,A
m.NCIH1339,Minna,Y,A,A
m.NCIH1417,Minna,A,A,A
m.NCIH1436,Minna,A,A,A
m.NCIH1450,Minna,P,P,P
m.NCIH146,Minna,A,A,A
m.NCIH1514,Minna,A,A,A
m.NCIH1522,Minna,A,A,A
m.NCIH1607,Minna,P,P,P
m.NCIH1628,Minna,A2,A2,A2
m.NCIH1672,Minna,A,A,A
m.NCIH1688,Minna,A2,A2,A2
m.NCIH1694,Minna,N,N,N
m.NCIH1836,Minna,A,A,A
m.NCIH187,Minna,A,A,A
m.NCIH1870,Minna,A,A,A
m.NCIH1876,Minna,A,A,A
m.NCIH1882,Minna,A,A,A
m.NCIH1926,Minna,A,A,A
m.NCIH1930,Minna,A,A,A
m.NCIH1963,Minna,A,A,A
m.NCIH1994,Minna,A2,A2,A2
m.NCIH2029,Minna,A2,A2,A2
m.NCIH2081,Minna,A,A,A
m.NCIH209,Minna,A,A,A
m.NCIH2107,Minna,A,A,A
m.NCIH2108,Minna,A,A,A
m.NCIH211,Minna,P,P,P
m.NCIH2141,Minna,A,A,A
m.NCIH2171,Minna,N,N,N
m.NCIH2195,Minna,A2,A2,A2
m.NCIH2196,Minna,A2,A2,A2
m.NCIH2198,Minna,A2,A2,A2
m.NCIH2227,Minna,N,N,N
m.NCIH250,Minna,A2,A2,A2
m.NCIH2679,Minna,P,P,P
m.NCIH3282,Minna,A,A,A
m.NCIH345,Minna,A,A,A
m.NCIH378,Minna,A,N,N
m.NCIH446,Minna,uncl,N,N
m.NCIH510,Minna,A2,A2,A2
m.NCIH524,Minna,N,N,N
m.NCIH526,Minna,P,P,P
m.NCIH60,Minna,N,N,N
m.NCIH69,Minna,A,A,A
m.NCIH711,Minna,A,A,A
m.NCIH735,Minna,A2,A2,A2
m.NCIH738,Minna,A,A,A
m.NCIH740,Minna,A,A,A
m.NCIH748,Minna,A,A2,A
m.NCIH774,Minna,A2,A2,A2
m.NCIH82,Minna,N,N,uncl
m.NCIH841,Minna,Y,Y,Y
m.NCIH865,Minna,A2,A2,A2
m.NCIH889,Minna,A,A,A
m.SHP77,Minna,A2,A2,A2